const,title,genres,director_name
tt1340107,In a Better World,"Drama, Romance",Susanne Bier
tt0055852,Cléo from 5 to 7,"Comedy, Drama, Music",Agnès Varda
tt0808417,Persepolis,"Animation, Biography, Drama, History, War","Vincent Paronnaud, Marjane Satrapi"
tt0082081,Marianne & Juliane,Drama,Margarethe von Trotta
tt3966404,Mustang,Drama,Deniz Gamze Ergüven
tt4925292,Lady Bird,"Comedy, Drama",Greta Gerwig
tt1592281,Take This Waltz,"Comedy, Drama",Sarah Polley
tt0107822,The Piano,"Drama, Music, Romance",Jane Campion
tt0099077,Awakenings,"Biography, Drama",Penny Marshall
tt2258858,Wadjda,"Comedy, Drama",Haifaa Al-Mansour
tt0033717,High Sierra,"Action, Adventure, Drama, Film-Noir, Thriller",Raoul Walsh
tt0340855,Monster,"Biography, Crime, Drama, Thriller",Patty Jenkins
tt1232776,Fish Tank,Drama,Andrea Arnold
tt0144084,American Psycho,"Crime, Drama, Horror",Mary Harron
tt0171685,Ratcatcher,Drama,Lynne Ramsay
tt0074901,Mikey and Nicky,"Crime, Drama",Elaine May
tt4048272,Toni Erdmann,"Comedy, Drama",Maren Ade
tt0335266,Lost in Translation,"Comedy, Drama",Sofia Coppola
tt1399683,Winter's Bone,"Crime, Drama, Mystery, Thriller",Debra Granik
tt0058780,Loving Couples,"Drama, Romance",Mai Zetterling
tt0171804,Boys Don't Cry,"Biography, Crime, Drama, Romance",Kimberly Peirce
tt3742378,The Second Mother,"Comedy, Drama",Anna Muylaert
tt0114558,Strange Days,"Crime, Drama, Sci-Fi, Thriller",Kathryn Bigelow
tt0835834,Time to Die,Drama,Dorota Kedzierzawska
tt0096028,Salaam Bombay!,"Crime, Drama",Mira Nair
tt0430576,The Secret Life of Words,"Drama, Romance",Isabel Coixet
tt0116308,Fire,"Crime, Drama, Romance",Deepa Mehta
tt0075040,Seven Beauties,"Comedy, Drama, War",Lina Wertmüller
tt0075404,The Ascent,"Drama, War",Larisa Shepitko
tt1772424,Where Do We Go Now?,"Comedy, Drama",Nadine Labaki
