title,director_name,release_year
First Cow,Kelly Reichardt,2020
Atlantics,Mati Diop,2019
A Beautiful Day in the Neighborhood,Marielle Heller,2019
The Farewell,Lulu Wang,2019
Never Rarely Sometimes Always,Eliza Hittman,2020
One Night in Miami,Regina King,2020
Clemency,Chinonye Chukwu,2019
Hustlers,Lorene Scafaria,2019
Nomadland,Chloé Zhao,2020
Portrait of a Lady on Fire,Celine Sciamma,2019
Little Women,Greta Gerwig,2019
American Psycho,Mary Harron,2000
Frozen,Jennifer Lee & Chris Buck,2013
I Am Not a Witch,Rungano Nyoni,2018
They,Anahita Ghazvinizadeh,2017
The Secret Garden,Agnieszka Holland,1993
Rambling Rose,Martha Coolidge,1991
Monsoon Wedding,Mira Nair,2001
The Breadwinner,Nora Twomey,2017
Nitrate Kisses,Barbara Hammer,1992
Outrage,Ida Lupino,1950
35 Shots of Rum,Claire Denis,2008
Near Dark,Kathryn Bigelow,1987
Kanehsatake: 270 Years of Resistance,Alanis Obomsawin,1993
The Souvenir,Joanna Hogg,2019
Gas Food Lodging,Allison Anders,1992
Something’s Gotta Give,Nancy Meyers,2003
One Way or Another,Sara Gómez,1974
Crossing Delancey,Joan Micklin Silver,1988
Appropriate Behavior,Desiree Akhavan,2014
After the Wedding,Susanne Bier,2006
Girlfriends,Claudia Weill,1978
Boys Don’t Cry,Kimberly Peirce,1999
The Connection,Shirley Clarke,1961
Enough Said,Nicole Holofcener,2013
Antonia’s Line,Marleen Gorris,1995
Thirteen,Catherine Hardwick,2003
High Art,Lisa Cholodenko,1998
Love & Basketball,Gina Prince-Bythewood,2000
Wendy and Lucy,Kelly Reichardt,2008
Pariah,Dee Rees,2011
Portrait of Jason,Shirley Clarke,1967
Cameraperson,Kirsten Johnson,2016
Morvern Callar,Lynne Ramsey,2002
Girlfight,Karyn Kusama,2000
A New Leaf,Elaine May,1971
Can You Ever Forgive Me?,Marielle Heller,2018
Real Women Have Curves,Patricia Cardoso,2002
Bend It Like Beckham,Gurinder Chadha,2003
Reassemblage,Trinh T. Minh-ha,1983
Big,Penny Marshall,1988
My Brilliant Career,Gillian Armstrong,1979
Little Women,Gillian Armstrong,1994
Girlhood,Celine Sciama,2014
You Were Never Really Here,Lynne Ramsay,2018
The Savages,Tamara Jenkins,2007
Paris Is Burning,Jennie Livingston,1990
Breathe,Mélanie Laurent,2014
Mabel’s Blunder,Mabel Normand,1914
Sink or Swim,Su Friedrich,1990
The Hurt Locker,Kathryn Bigelow,2009
The Decline of Western Civilization,Penelope Spheeris,1981
The House Is Black,Forough Farrokhzad,1963
Mikey and Nicky,Elaine May,1976
The Hitch-hiker,Ida Lupino,1953
Stories We Tell,Sarah Polley,2012
The Watermelon Woman,Cheryl Dunye,1996
The Virgin Suicides,Sofia Coppola,1999
Whale Rider,Niki Caro,2003
Selma,Ava DuVernay,2014
Monster,Patty Jenkins,2003
Leave No Trace,Debra Granik,2018
Fat Girl,Catherine Breillat,2001
Sugar Cane Alley,Euzhan Palcy,1983
Desert Hearts,Donna Deitch,1985
News From Home,Chantal Akerman,1977
The Babadook,Jennifer Kent,2014
Point Break,Kathryn Bigelow,1991
Europa Europa,Agnieszka Holland,1990
Eve’s Bayou,Kasi Lemmons,1997
Desperately Seeking Susan,Susan Seidelman,1985
The Headless Woman,Lucrecia Martel,2008
Losing Ground,Kathleen Collins,1982
Le Bonheur,Agnes Varda,1965
Harlan County USA,Barbara Kopple,1976
We Need to Talk About Kevin,Lynne Ramsay,2011
Persepolis,Marjane Satrapi,2007
Suspense,Lois Weber,1913
Lost in Translation,Sofia Coppola,2003
The Matrix,Lilly and Lana Wachowski,1999
Wanda,Barbara Loden,1970
The Adventures of Prince Achmed,Lotte Reiniger,1926
Fish Tank,Andrea Arnold,2009
Zero Dark Thirty,Kathryn Bigelow,2012
"Dance, Girl, Dance",Dorothy Arzner,1940
Yentl,Barbra Streisand,1983
Clueless,Amy Heckerling,1995
Winter’s Bone,Debra Granik,2010
The Rider,Chloe Zhao,2018
Daughters of the Dust,Julie Dash,1991
Seven Beauties,Lina Wertmüller,1976
Meshes of the Afternoon,Maya Deren,1943
Cléo from 5 to 7,Agnes Varda,1962
Lady Bird,Greta Gerwig,2017
Daisies,Vera Chytilova,1966
A League of Their Own,Penny Marshall,1992
The Piano,Jane Campion,1993
Beau Travail,Claire Denis,1999
